Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s)
0.012831625,-0.914689124,0.729190052,-0.572178721,1.30221458
0.022864625,-0.613381743,0.754575849,-0.357750863,1.036150353
0.032896625,-0.181982577,0.800100029,-0.141075298,0.832574293
0.042929625,0.20888716,0.995940328,-0.034249514,1.018186629
0.052961625,0.452666402,1.188485265,-0.067525849,1.27356344
0.062994625,0.582664609,1.28149116,-0.198685989,1.421686943
0.073027625,0.607374489,1.212711453,-0.346911699,1.39997163
0.083059625,0.552770078,1.011555433,-0.473991096,1.246381448
0.093092625,0.424038678,0.762077391,-0.543799341,1.027758957
0.103124625,0.235158488,0.574154377,-0.557050645,0.833821435
0.113157625,-0.023560848,0.470155954,-0.445551992,0.648165343
0.123189625,-0.270970911,0.36651212,-0.247306526,0.518571968
0.133222625,-0.420448989,0.224924937,-0.004587756,0.476853884
0.143254625,-0.46461618,0.094067335,0.166037247,0.502280027
0.153287625,-0.456055313,-0.015623974,0.214348987,0.50415875
0.163320625,-0.469498158,-0.140093997,0.158804238,0.515047215
0.173352625,-0.485116035,-0.231580928,0.036662616,0.538805569
0.183385625,-0.433612615,-0.204727486,-0.108882867,0.491720166
0.193417625,-0.324712753,-0.113898061,-0.201920524,0.398977491
0.203450625,-0.161004499,-0.03586185,-0.220420167,0.275306322
0.213482625,-0.024262531,-0.168997139,-0.256420791,0.308058964
0.223515625,0.018891066,-0.081713632,-0.368084192,0.377518162
0.233547625,-0.010163263,0.028400196,-0.483424634,0.484364779
0.243580625,-0.020706985,0.070502378,-0.499635309,0.505009709
0.253612625,0.034096837,0.073451921,-0.388688713,0.397034879
0.263645625,0.082643598,0.109891154,-0.159939662,0.210918765
0.273678625,0.091670074,0.251847863,0.092056364,0.283381585
0.283710625,0.044016272,0.424782097,0.272550225,0.506617102
0.293743625,-0.034734651,0.594746471,0.330369204,0.681229529
0.303775625,-0.101521134,0.743626714,0.257231861,0.793382292
0.313808625,-0.155638978,0.85288614,0.076926142,0.870376867
0.323840625,-0.1575149,0.910191774,-0.179820433,0.941060783
0.333873625,-0.075150661,0.942527533,-0.433977872,1.040356941
0.343905625,0.095445842,0.979561448,-0.617907226,1.162092888
0.353938625,0.285740733,1.043252826,-0.658587039,1.266396902
0.363971625,0.302394807,0.971799612,-0.537597477,1.151020483
0.374003625,0.098147847,0.86229676,-0.479908884,0.99171631
0.384036625,-0.172915086,0.732706547,-0.511049211,0.909906483
0.394068625,-0.403329343,0.625678659,-0.537416637,0.918131246
0.404101625,-0.627625346,0.448380858,-0.529709458,0.935708864
0.414133375,-0.868536413,-0.154482201,-0.457900882,0.993928301
0.424166375,-0.885432303,-0.57328558,-0.294299185,1.095106721
0.434198375,-0.880511999,-0.859694004,-0.330460668,1.274197557
0.444231375,-0.907001913,-0.962995172,-0.477915078,1.406561407
0.454264375,-0.943978131,-0.901003003,-0.750704527,1.505476141
0.464296375,-0.960741401,-0.763665676,-0.966647506,1.562247325
0.474329375,-0.899849415,-0.71152401,-1.282617331,1.720785461
0.484361375,-0.802944183,-0.26003781,-1.44468236,1.673154549
0.494394375,-0.536888301,0.294272721,-1.437598825,1.562541475
0.504426375,-0.217094317,0.596469343,-1.268706441,1.418633727
0.514459375,0.015809072,0.76353085,-0.890058577,1.172788795
0.524492375,0.025368489,0.89683646,-0.422406435,0.991658405
0.534524375,-0.203715295,1.074145555,-0.074535131,1.095830316
0.544557375,-0.532878518,1.244383812,0.032383859,1.354067687
0.554589375,-0.688419342,1.145903468,-0.035002105,1.337251321
0.564622375,-0.638837934,0.872303784,-0.138525829,1.090053761
0.574654375,-0.480254978,0.730986118,-0.233168185,0.905181171
0.584687375,-0.283056676,0.731893957,-0.242634922,0.821377837
0.594719375,-0.095185027,0.741445601,-0.222740844,0.780009777
0.604752375,-0.051733155,0.93619746,-0.25987944,0.972974474
0.614785375,-0.127102539,1.426848412,-0.349969357,1.474628765
0.624817375,-0.218751758,1.900241852,-0.572141171,1.99652622
0.634850375,-0.273050159,2.295697451,-1.006618261,2.521520077
0.644882375,-0.284457833,2.712178707,-1.563904643,3.143664634
0.654915375,-0.298733473,3.075477839,-2.124616146,3.749906584
0.664947375,-0.30795601,3.401680946,-2.714519024,4.362898543
0.674980375,-0.351020694,3.678143978,-3.394361496,5.017334812
0.685013375,-0.508156538,3.825019836,-4.283463955,5.765159431
0.695045375,-0.716069937,3.942579746,-5.250441551,6.604833661
0.705078375,-0.845599175,3.927246809,-6.066306114,7.275876259
0.715110375,-0.857406259,3.770832062,-6.713577747,7.747673593
0.725143375,-0.79638207,3.594673634,-7.196350574,8.083524264
0.735175375,-0.679988384,3.470595837,-7.584324837,8.36835724
